0876_set_cursorline  VimFu — :set cursorline
0877_toggle_settings  VimFu — Toggling Settings with no Prefix
0878_query_settings  VimFu — Querying Settings with ?
0879_set_numeric_values  VimFu — Setting Numeric Values with =
0879a_set_wrap  VimFu — :set wrap / nowrap
0879b_set_list  VimFu — :set list / nolist
0879c_set_splitbelow  VimFu — :set splitbelow
0879d_set_splitright  VimFu — :set splitright
0879e_set_spell  VimFu — :set spell / nospell
0879f_set_fileformat  VimFu — :set fileformat
0880_shell_command  VimFu — :!{cmd} — Run Shell Command
0880a_filter_lines  VimFu — :{range}!{filter} — Filter Lines
0880aa_captured_groups  VimFu — :s Captured Groups
0880ab_vim_regex  VimFu — Vim Regex Syntax
0880b_list_buffers  VimFu — :ls / :buffers
0880c_cycle_buffers  VimFu — :bn / :bp — Cycle Buffers
0880d_switch_buffer  VimFu — :b N / :b name — Switch Buffer
0880e_delete_buffer  VimFu — :bd — Delete Buffer
0880f_enew_buffer  VimFu — :enew — New Unnamed Buffer
0880g_alternate_buffer  VimFu — Ctrl-^ — Alternate Buffer
0880h_new_tab  VimFu — :tabnew / :tabe — New Tab
0880i_cycle_tabs  VimFu — :tabn / :tabp — Cycle Tabs
0880j_close_tab  VimFu — :tabc — Close Tab
0880k_only_tab  VimFu — :tabo — Only Tab
0880l_window_to_tab  VimFu — Ctrl-W T — Window to Tab
0880m_horizontal_split  VimFu — :sp — Horizontal Split
0880n_vertical_split  VimFu — :vs — Vertical Split
0880o_new_window  VimFu — :new — New Window
0880p_close_only  VimFu — :close / :only
0880q_quit_all  VimFu — :qa — Quit All
0880r_write_all  VimFu — :wa — Write All
0880s_write_quit_all  VimFu — :wqa / :xa — Write All + Quit
0880t_retab  VimFu — :retab — Fix Tabs
0880u_delmarks  VimFu — :delmarks — Delete Marks
0880v_undolist  VimFu — :undolist — Undo Info
0880w_pwd  VimFu — :pwd — Current Directory
0880x_file_info  VimFu — :file — File Info
0880y_alternate_delimiters  VimFu — :s Alternate Delimiters
0880z_backreference  VimFu — :s Backreference &
0881_recipe_delete_block  VimFu — Recipe: Delete a Block of Lines
0882_recipe_duplicate  VimFu — Recipe: Duplicate a Section
0883_recipe_move_code  VimFu — Recipe: Move Code Around
0884_recipe_mass_rename  VimFu — Recipe: Mass Rename
0885_recipe_delete_comments  VimFu — Recipe: Delete All Comments
0886_recipe_add_to_every_line  VimFu — Recipe: Add to Every Line
0887_recipe_number_lines  VimFu — Recipe: Number All Lines
0888_recipe_sort_dedup  VimFu — Recipe: Sort and Deduplicate
0889_recipe_reverse_file  VimFu — Recipe: Reverse File Order
0890_recipe_extract_matching  VimFu — Recipe: Extract Matching Lines
0891_recipe_comment_range  VimFu — Recipe: Comment Out a Range
0892_recipe_indent_block  VimFu — Recipe: Indent a Block
0893_recipe_yank_register  VimFu — Recipe: Yank to Named Register
0894_recipe_sort_imports  VimFu — Recipe: Sort Imports
0895_recipe_clean_whitespace  VimFu — Recipe: Clean Trailing Whitespace
